context_steps,target_pca_dim,dataset_name,target,status,reasons,real_rank_pct,shifted_rank_pct,time_rank_pct,mean_rank_pct,real_minus_shifted,real_minus_time,real_diag_minus_offdiag,real_row_corr,real_target_corr,residual_status,residual_reasons,residual_rank_pct,residual_shifted_rank_pct,residual_minus_shifted,residual_diag_minus_offdiag,residual_row_corr,n_samples,n_runs,n_subjects,target_dim
32,64,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4997710463327631,0.4958389529004245,0.5131899627927159,0.5,0.0039320934323385,-0.0134189164599528,-0.0056609176384641,0.0094541292585248,0.0091355910253696,confounded,rank<0.52|diag<0.02|shifted_close,0.4979030801477057,0.5088691287994379,-0.0109660486517321,-0.0064376358692758,0.0079150411877188,6883,19,19,100
8,16,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.5121302308802309,0.5051882916466249,0.5013728555395222,0.5,0.0069419392336059,0.0107573753407087,0.0260134306336364,0.0269523338225442,0.0093799539462603,fail,rank<0.52,0.5092317019400352,0.4968810125060126,0.0123506894340226,0.0214679121374827,0.0179013263844734,9273,33,33,100
8,16,natview,Z_masked100,confounded,rank<0.52|diag<0.02|shifted_close,0.5052044152765153,0.497374413379776,0.5004232125453975,0.5,0.0078300018967392,0.0047812027311178,0.0105548480410185,0.0159288341046619,-0.00313288145162,confounded,rank<0.52|diag<0.02|shifted_close,0.5060174472918254,0.4966225127375802,0.0093949345542451,0.0130708462574015,0.0176627315795783,5811,22,22,100
8,16,natview_neurostorm,Z_neurostorm,fail,rank<0.52,0.5175666525835111,0.4900707338149258,0.5064338477550456,0.5,0.0274959187685853,0.0111328048284654,0.0252832570233588,0.0189638951689317,0.0033763529499992,fail,rank<0.52,0.5163448058604786,0.4979225235550967,0.0184222823053818,0.0250352824358496,0.017970674419051,5811,22,22,2304
8,16,xp2,Z_masked76,pass,,0.543242219065237,0.5045149966745813,0.5259901976664826,0.5,0.0387272223906556,0.0172520213987543,0.0671176563062497,0.0675500285149832,0.0651275129833569,pass,,0.5406483576051443,0.5117055936106462,0.0289427639944981,0.0620833548438685,0.0614304265164527,5474,17,17,76
8,16,affective,Z_masked100,pass,,0.5217265806444117,0.4984541138628706,0.4954928584480658,0.5,0.023272466781541,0.0262337221963458,0.0372919643217856,0.0384459159199263,0.0198008938859857,pass,,0.5201675824506222,0.5016678341504452,0.0184997483001769,0.0349533988735362,0.0360100521475658,19506,21,21,100
8,16,experience,Z_masked100,time_dominated,time_beats_real,0.5394425100871835,0.4848864167754216,0.5801874209434381,0.5,0.0545560933117618,-0.0407449108562546,0.0839501010844919,0.0590405066948969,0.0384827615052927,pass,,0.5284521112186563,0.4827538949386191,0.0456982162800371,0.0648129733496969,0.0474676405283407,7909,24,24,100
8,16,speeded,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.5020697435531966,0.5047160742672124,0.5072316536530832,0.5,-0.0026463307140158,-0.0051619100998866,0.0011061337099453,0.006566116372121,-0.0021367689544907,confounded,rank<0.52|diag<0.02|shifted_close,0.5018396246715757,0.4983098789952511,0.0035297456763245,0.0023642790367818,0.0060343086700274,6883,19,19,100
8,16,gradcpt,Z_masked100,time_dominated,rank<0.52|diag<0.02|shifted_close|time_beats_real,0.4625249466258238,0.4911513033576003,0.5332006645250693,0.5,-0.0286263567317764,-0.0706757178992454,-0.0346946266916268,-0.0338556293848166,-0.0563335295009892,confounded,rank<0.52|diag<0.02|shifted_close,0.4565091631194388,0.5013570425733646,-0.0448478794539257,-0.046151342101698,-0.0405902940708675,3113,28,28,100
8,32,sleep,Z_masked100,confounded,rank<0.52|shifted_close,0.5125962000962001,0.5050705467372135,0.50118746993747,0.5,0.0075256533589865,0.0114087301587301,0.0246468370912804,0.0254887162372431,0.0084150289306232,fail,rank<0.52,0.5105218855218855,0.4983791285874619,0.0121427569344235,0.0212839231776396,0.0181088073553076,9273,33,33,100
8,32,natview,Z_masked100,confounded,rank<0.52|diag<0.02|shifted_close,0.5066534453433745,0.4976509410556028,0.4995032075474925,0.5,0.0090025042877716,0.007150237795882,0.0114946913578127,0.0149028071358275,0.0041958486815474,fail,rank<0.52|diag<0.02,0.5070720652201864,0.4969412081058588,0.0101308571143276,0.0138154968099797,0.0165230218533815,5811,22,22,100
8,32,natview_neurostorm,Z_neurostorm,fail,rank<0.52,0.5168816387305631,0.4900164473346151,0.5073420491490652,0.5,0.026865191395948,0.0095395895814979,0.0224653828028723,0.0169564015845737,0.0009595383871783,fail,rank<0.52,0.515952919755615,0.4971362032695472,0.0188167164860677,0.0222620644061347,0.0161457409819871,5811,22,22,2304
8,32,xp2,Z_masked76,pass,,0.5491416674806885,0.5051717219327735,0.5236007347334461,0.5,0.043969945547915,0.0255409327472423,0.0668654337329022,0.0675598328592684,0.0559754956242007,pass,,0.5457738601837833,0.5131238924111691,0.0326499677726142,0.0622858724695922,0.0603740681900317,5474,17,17,76
8,32,affective,Z_masked100,pass,,0.5232351848008462,0.4974944260769496,0.4950301041126805,0.5,0.0257407587238965,0.0282050806881656,0.0360447449270236,0.0366165866722536,0.0160375334386723,pass,,0.521526889516572,0.5023132429951405,0.0192136465214315,0.0338190792277952,0.0343735852799913,19506,21,21,100
8,32,experience,Z_masked100,time_dominated,time_beats_real,0.5408689161875975,0.4839876497314448,0.5807977408935591,0.5,0.0568812664561526,-0.0399288247059615,0.0791904262878695,0.0570606113088514,0.0312819190382166,pass,,0.5299364852245803,0.4814624021107641,0.0484740831138161,0.0621236419491098,0.0460208877744803,7909,24,24,100
