fold,method,target_mode,n_train,n_test,y_dim,context_steps,target_corr_mean,target_corr_median,row_corr_mean,row_corr_median,r2,retrieval_top1,retrieval_top5,retrieval_mrr,retrieval_median_rank,retrieval_rank_percentile_mean,diag_minus_offdiag,dataset_name,mode,lag
1,real_eeg_ridge,Z,3722,1060,32,16,0.0442175487842178,0.04049150086939335,0.05845561674127481,0.06386755034327507,-0.27450641771463147,0.016981132075471698,0.1018867924528302,0.08578125460249393,28.0,0.5399092970521543,0.045258076597172764,xp2,tf,-1
1,shifted_null_ridge,Z,3722,1060,32,16,0.006208309907378862,0.00411075190640986,-0.007184543961797454,-0.014491941779851913,-0.32391175448199006,0.018867924528301886,0.07830188679245283,0.07831742105919584,32.0,0.49715911521841444,9.021659102684265e-05,xp2,tf,-1
1,time_only_ridge,Z,3722,1060,32,16,0.015766770477057435,0.01660046074539423,0.043913692685552785,0.05200880765914917,-0.0009590105940056048,0.017924528301886792,0.09150943396226414,0.08040775045395875,32.0,0.5154922346297011,0.02927638010115092,xp2,tf,-1
1,time_residual_eeg_ridge,Z_time_resid,3722,1060,32,16,0.04489413902410888,0.037768470123410225,0.045825666151502895,0.05790771171450615,-0.26649465662645255,0.016037735849056604,0.09433962264150944,0.08229783307236965,29.0,0.5341997176228982,0.03737121790027058,xp2,tf,-1
1,time_residual_shifted_null,Z_time_resid,3722,1060,32,16,0.009380573992530117,0.00891142152249813,0.005028892504951899,-0.002831763122230768,-0.2790547700829149,0.016981132075471698,0.08113207547169811,0.07797789401234377,32.0,0.5069075428913704,0.010749212305572612,xp2,tf,-1
2,real_eeg_ridge,Z,3837,990,32,16,0.03328451812467392,0.03767195716500282,0.03617829987520559,0.039441440254449844,-0.2280491220533174,0.024242424242424242,0.09090909090909091,0.08712300182151071,27.0,0.5327080327080327,0.03398746328479158,xp2,tf,-1
2,shifted_null_ridge,Z,3837,990,32,16,-0.001219105426571332,0.005810573231428862,-0.00853825597713685,-0.01565462490543723,-0.2894991644615068,0.014141414141414142,0.07171717171717172,0.07211352658596133,31.0,0.48214801071943936,-0.015593502406905643,xp2,tf,-1
2,time_only_ridge,Z,3837,990,32,16,0.007871249779782374,0.0045211548276711255,0.06701223030909802,0.056319233030080795,0.003112687792527158,0.015151515151515152,0.08282828282828283,0.07960142887557049,27.0,0.5334616001282667,0.05458469052118246,xp2,tf,-1
2,time_residual_eeg_ridge,Z_time_resid,3837,990,32,16,0.03107461495528696,0.03921973705291748,0.028678304814857624,0.031631503254175186,-0.2277265700153568,0.022222222222222223,0.09292929292929293,0.08589518405765355,27.0,0.5236881284500332,0.025963002316108708,xp2,tf,-1
2,time_residual_shifted_null,Z_time_resid,3837,990,32,16,0.005346873260350549,0.0038639185950160027,0.016879208883120105,0.010233125649392605,-0.24478557602775908,0.01818181818181818,0.10202020202020202,0.08671429386083651,28.0,0.5190636523969857,0.02082465625504301,xp2,tf,-1
3,real_eeg_ridge,Z,3766,1046,32,16,0.05669786117914555,0.04933105781674385,0.07602291315705845,0.07877089828252792,-0.1920112700734098,0.030592734225621414,0.12332695984703633,0.09995190941534096,27.0,0.5538060986026023,0.06294725865286985,xp2,tf,-1
